codigo,modalidade,grau,curso,uf,municipio,enade,cpc,cc,code_ies,nome_da_ies,mantenedora
1429290,A Distância,Bacharelado,Administração,,Vários municípios,-,-,4,4150,(4150) FACULDADE DE TECNOLOGIA DE PIRACICABA - FATEP,(2605) INSTITUTO DE DESENVOLVIMENTO TECNOLOGICO E EDUCACIONAL DE PIRACICABA LTDA
1353487,Presencial,Bacharelado,Administração,SP,Piracicaba,-,-,4,4150,(4150) FACULDADE DE TECNOLOGIA DE PIRACICABA - FATEP,(2605) INSTITUTO DE DESENVOLVIMENTO TECNOLOGICO E EDUCACIONAL DE PIRACICABA LTDA
1590045,Presencial,Bacharelado,Arquitetura e urbanismo,SP,Piracicaba,-,-,-,4150,(4150) FACULDADE DE TECNOLOGIA DE PIRACICABA - FATEP,(2605) INSTITUTO DE DESENVOLVIMENTO TECNOLOGICO E EDUCACIONAL DE PIRACICABA LTDA
1508055,Presencial,Bacharelado,Ciências contábeis,SP,Piracicaba,-,-,4,4150,(4150) FACULDADE DE TECNOLOGIA DE PIRACICABA - FATEP,(2605) INSTITUTO DE DESENVOLVIMENTO TECNOLOGICO E EDUCACIONAL DE PIRACICABA LTDA
1469829,Presencial,Bacharelado,Direito,SP,Piracicaba,-,-,4,4150,(4150) FACULDADE DE TECNOLOGIA DE PIRACICABA - FATEP,(2605) INSTITUTO DE DESENVOLVIMENTO TECNOLOGICO E EDUCACIONAL DE PIRACICABA LTDA
1510807,Presencial,Bacharelado,Enfermagem,SP,Piracicaba,-,-,4,4150,(4150) FACULDADE DE TECNOLOGIA DE PIRACICABA - FATEP,(2605) INSTITUTO DE DESENVOLVIMENTO TECNOLOGICO E EDUCACIONAL DE PIRACICABA LTDA
1332187,Presencial,Bacharelado,Engenharia agronômica,SP,Piracicaba,-,-,4,4150,(4150) FACULDADE DE TECNOLOGIA DE PIRACICABA - FATEP,(2605) INSTITUTO DE DESENVOLVIMENTO TECNOLOGICO E EDUCACIONAL DE PIRACICABA LTDA
1204953,Presencial,Bacharelado,Engenharia civil,SP,Piracicaba,2,3,4,4150,(4150) FACULDADE DE TECNOLOGIA DE PIRACICABA - FATEP,(2605) INSTITUTO DE DESENVOLVIMENTO TECNOLOGICO E EDUCACIONAL DE PIRACICABA LTDA
1429291,A Distância,Bacharelado,Engenharia de produção,,Vários municípios,-,-,4,4150,(4150) FACULDADE DE TECNOLOGIA DE PIRACICABA - FATEP,(2605) INSTITUTO DE DESENVOLVIMENTO TECNOLOGICO E EDUCACIONAL DE PIRACICABA LTDA
1176065,Presencial,Bacharelado,Engenharia de produção,SP,Piracicaba,2,3,4,4150,(4150) FACULDADE DE TECNOLOGIA DE PIRACICABA - FATEP,(2605) INSTITUTO DE DESENVOLVIMENTO TECNOLOGICO E EDUCACIONAL DE PIRACICABA LTDA
